epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.242,0.57431,2.39608,1.13991,0.81232,0.42475,0.73759,0.68793,0.39008,2.99944,0.95073,0.000360588,0.000360588,0.000360588
2,458.023,0.56964,1.35516,1.09964,0.8517,0.58429,0.8592,0.72425,0.53617,2.28888,1.05811,0.000716449,0.000716449,0.000716449
3,679.718,0.56289,1.16964,1.08383,0.8349,0.61148,0.70115,0.60023,0.50443,2.18517,1.06265,0.00105764,0.00105764,0.00105764
4,902.768,0.5732,1.10799,1.09665,0.83483,0.75829,0.89489,0.67032,0.75886,2.40046,1.32971,0.00104501,0.00104501,0.00104501
5,1129.77,0.56158,1.01742,1.08012,0.845,0.87992,0.97886,0.86375,0.52622,1.43808,1.06541,0.00102301,0.00102301,0.00102301
6,1350.22,0.54719,0.89485,1.08991,0.98149,0.99253,0.9949,0.92714,0.36146,0.96414,0.92971,0.00100101,0.00100101,0.00100101
7,1570.67,0.5211,0.83194,1.04353,0.8953,0.65125,0.86015,0.77995,0.4493,1.48624,0.98546,0.000979013,0.000979013,0.000979013
8,1801.42,0.51119,0.84797,1.05428,0.7648,0.85504,0.93542,0.82911,0.49827,1.56249,1.02945,0.000957015,0.000957015,0.000957015
9,2023.54,0.50623,0.75368,1.0513,0.79092,0.74841,0.8533,0.78035,0.42231,1.96859,0.99144,0.000935018,0.000935018,0.000935018
10,2242.13,0.51081,0.69501,1.05124,0.96926,0.99008,0.99065,0.89124,0.45581,0.68736,0.9891,0.00091302,0.00091302,0.00091302
11,2456.73,0.4913,0.64672,1.03702,0.95215,0.979,0.99142,0.92659,0.36569,0.64294,0.92301,0.000891022,0.000891022,0.000891022
12,2670.8,0.47706,0.62331,1.02473,0.91823,0.93402,0.97473,0.90712,0.3719,0.77508,0.93409,0.000869024,0.000869024,0.000869024
13,2884.42,0.46942,0.57436,1.01422,0.90942,0.87764,0.96349,0.88985,0.39443,0.86949,0.95327,0.000847026,0.000847026,0.000847026
14,3097.47,0.45542,0.5675,1.01588,0.98641,0.92998,0.98023,0.90771,0.38087,0.66102,0.92826,0.000825029,0.000825029,0.000825029
15,3310.28,0.46537,0.5365,1.02833,0.94241,0.96003,0.97764,0.93028,0.34917,0.60564,0.91681,0.000803031,0.000803031,0.000803031
16,3522.58,0.44237,0.52655,1.00163,0.99488,0.9894,0.995,0.94359,0.34638,0.47287,0.91217,0.000781033,0.000781033,0.000781033
