epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,326.887,1.35388,2.45148,1.39791,0.8392,0.26354,0.40723,0.31429,0.77141,1.26989,1.01382,0.000362454,0.000362454,0.000362454
2,655.889,1.06721,1.78366,1.0975,0.80642,0.35231,0.4351,0.34469,0.6897,1.09553,0.98684,0.000718278,0.000718278,0.000718278
3,973.796,0.99984,1.52737,1.06384,0.72604,0.49857,0.57685,0.44422,0.68076,0.92863,0.97825,0.00105944,0.00105944,0.00105944
4,1279.24,0.99063,1.49867,1.05315,0.63241,0.46665,0.53329,0.38267,0.77465,1.05405,1.04288,0.00104501,0.00104501,0.00104501
5,1585.32,1.00974,1.46562,1.05204,0.56541,0.54436,0.58365,0.40164,0.68003,1.80681,0.97049,0.00102301,0.00102301,0.00102301
6,1886.09,0.95208,1.33159,1.05513,0.71378,0.50577,0.62533,0.46518,0.69187,1.00282,0.98694,0.00100101,0.00100101,0.00100101
7,2189.99,0.93969,1.24006,1.04588,0.69646,0.60037,0.72385,0.53816,0.67861,0.80902,0.97654,0.000979013,0.000979013,0.000979013
8,2486.37,0.95706,1.21381,1.02494,0.7539,0.66816,0.75941,0.56982,0.63405,0.69402,0.94859,0.000957015,0.000957015,0.000957015
9,2791.78,0.92072,1.12677,1.0129,0.75554,0.7347,0.7975,0.6088,0.6391,0.64055,0.95286,0.000935018,0.000935018,0.000935018
10,3094.66,0.90496,1.09751,1.01962,0.73259,0.72037,0.78427,0.58876,0.636,0.69801,0.95145,0.00091302,0.00091302,0.00091302
11,3393.53,0.89606,1.0655,1.01797,0.75961,0.75642,0.83191,0.61344,0.64156,0.63005,0.95406,0.000891022,0.000891022,0.000891022
12,3671.68,0.88231,1.00794,1.01595,0.67448,0.63809,0.73618,0.55933,0.65491,0.893,0.97715,0.000869024,0.000869024,0.000869024
13,3949.81,0.85648,0.98289,1.00202,0.77589,0.71615,0.82839,0.63269,0.62596,0.64506,0.94944,0.000847026,0.000847026,0.000847026
14,4238.29,0.87011,0.93539,1.01273,0.77881,0.79078,0.84043,0.6339,0.63213,0.5669,0.95438,0.000825029,0.000825029,0.000825029
15,4538.74,0.88982,0.97513,1.01478,0.79113,0.77014,0.84807,0.65519,0.6231,0.54897,0.94818,0.000803031,0.000803031,0.000803031
16,4827.53,0.83698,0.95222,0.99335,0.81026,0.72093,0.82767,0.63461,0.63721,0.62871,0.96141,0.000781033,0.000781033,0.000781033
17,5130.51,0.85732,0.9053,1.0045,0.78356,0.78722,0.87076,0.65047,0.61883,0.54708,0.94479,0.000759035,0.000759035,0.000759035
18,5463.46,0.87977,0.86208,1.00405,0.76536,0.71956,0.84357,0.65393,0.57708,0.58791,0.92075,0.000737037,0.000737037,0.000737037
19,5791.77,0.85372,0.87094,0.99479,0.81114,0.81567,0.88817,0.67691,0.59643,0.51288,0.92678,0.00071504,0.00071504,0.00071504
20,6146.57,0.8239,0.82729,0.99906,0.79389,0.81058,0.87678,0.67427,0.63768,0.55549,0.96228,0.000693042,0.000693042,0.000693042
21,6482.88,0.82407,0.79953,1.00122,0.79799,0.8084,0.87768,0.67359,0.6164,0.4918,0.9419,0.000671044,0.000671044,0.000671044
22,6775.84,0.82333,0.76381,0.98679,0.81028,0.84724,0.90265,0.68294,0.61218,0.50712,0.94775,0.000649046,0.000649046,0.000649046
23,7053.87,0.82505,0.75494,1.00014,0.81911,0.82442,0.89634,0.69478,0.5842,0.48891,0.92518,0.000627048,0.000627048,0.000627048
24,7345.63,0.82927,0.76407,0.99111,0.82714,0.83331,0.90668,0.70546,0.58762,0.47082,0.94019,0.000605051,0.000605051,0.000605051
25,7645.62,0.82038,0.74668,0.98064,0.85212,0.82468,0.90253,0.70759,0.55881,0.44417,0.91056,0.000583053,0.000583053,0.000583053
26,7956.8,0.81843,0.73481,0.96939,0.82064,0.82439,0.89517,0.70228,0.56993,0.46363,0.91829,0.000561055,0.000561055,0.000561055
27,8251.65,0.81467,0.70079,0.9763,0.82777,0.8209,0.89912,0.70145,0.57659,0.46295,0.92122,0.000539057,0.000539057,0.000539057
28,8544.87,0.80895,0.67783,0.97916,0.83083,0.82469,0.89105,0.69545,0.56662,0.43659,0.92076,0.000517059,0.000517059,0.000517059
29,8833.34,0.79773,0.66548,0.97296,0.82449,0.85689,0.90742,0.70201,0.58697,0.44042,0.93078,0.000495062,0.000495062,0.000495062
30,9128,0.79009,0.67545,0.98466,0.81424,0.80602,0.88048,0.68531,0.59274,0.45626,0.92971,0.000473064,0.000473064,0.000473064
31,9498.95,0.7947,0.66326,0.97514,0.84224,0.81833,0.91599,0.71111,0.61269,0.43354,0.9456,0.000451066,0.000451066,0.000451066
32,9830.88,0.79997,0.63907,0.9762,0.88248,0.81741,0.92385,0.72133,0.58308,0.40705,0.92089,0.000429068,0.000429068,0.000429068
33,10137.9,0.76735,0.61089,0.96545,0.84467,0.80677,0.90488,0.70633,0.58904,0.45147,0.92778,0.00040707,0.00040707,0.00040707
34,10470.6,0.79104,0.64375,0.9711,0.86983,0.78968,0.90499,0.71,0.58608,0.44993,0.92445,0.000385073,0.000385073,0.000385073
35,10781.5,0.77636,0.61914,0.95428,0.83514,0.86148,0.92105,0.72666,0.57222,0.41976,0.9225,0.000363075,0.000363075,0.000363075
36,11092.5,0.75417,0.59655,0.95623,0.82224,0.85595,0.9212,0.72589,0.57252,0.40604,0.92026,0.000341077,0.000341077,0.000341077
37,11430.2,0.78246,0.64012,0.95717,0.86296,0.84035,0.92674,0.72627,0.58151,0.40338,0.92133,0.000319079,0.000319079,0.000319079
38,11712.8,0.736,0.57735,0.95662,0.84245,0.85305,0.92494,0.72032,0.57521,0.40319,0.91643,0.000297081,0.000297081,0.000297081
39,12012.1,0.77514,0.57524,0.97206,0.88705,0.82741,0.9289,0.73144,0.56508,0.39598,0.9142,0.000275084,0.000275084,0.000275084
40,12311.2,0.7458,0.59235,0.94838,0.85133,0.84425,0.92298,0.73029,0.55597,0.39366,0.91053,0.000253086,0.000253086,0.000253086
41,12609.3,0.68201,0.51745,0.90123,0.84234,0.85188,0.91111,0.71597,0.55858,0.40536,0.91453,0.000231088,0.000231088,0.000231088
42,12924.7,0.65,0.50872,0.89897,0.85047,0.84126,0.91549,0.71868,0.55932,0.39827,0.91453,0.00020909,0.00020909,0.00020909
43,13254.2,0.69385,0.51537,0.90383,0.87865,0.82585,0.9123,0.71667,0.5634,0.40092,0.91889,0.000187092,0.000187092,0.000187092
44,13546.4,0.69304,0.50693,0.90824,0.85925,0.83796,0.91477,0.71547,0.55474,0.40202,0.91503,0.000165095,0.000165095,0.000165095
45,13849.1,0.69039,0.48938,0.90635,0.84961,0.84413,0.91439,0.72332,0.55962,0.39533,0.91523,0.000143097,0.000143097,0.000143097
46,14149.6,0.68698,0.50093,0.89635,0.86924,0.84444,0.91491,0.7178,0.56843,0.39381,0.92112,0.000121099,0.000121099,0.000121099
47,14456.3,0.66038,0.46829,0.90081,0.85638,0.85127,0.91453,0.72078,0.56795,0.38985,0.92103,9.91012e-05,9.91012e-05,9.91012e-05
48,14753,0.66163,0.4845,0.89413,0.85332,0.85208,0.91608,0.72684,0.55806,0.38747,0.915,7.71034e-05,7.71034e-05,7.71034e-05
49,15048,0.67057,0.47731,0.89537,0.84122,0.8679,0.92136,0.72773,0.56214,0.38485,0.91844,5.51056e-05,5.51056e-05,5.51056e-05
50,15334.3,0.65417,0.46713,0.8964,0.83796,0.86772,0.91765,0.72718,0.56392,0.38375,0.91925,3.31078e-05,3.31078e-05,3.31078e-05
